x,impala,enzyme,manual
30,2,2,1
60,3,5,2
150,7,13,5
300,16,27,11
330,6,17,7
600,27,52,23
660,13,34,14
1155,21,44,18
1200,56,101,46
1650,33,81,36
2310,42,85,35
2805,47,98,34
3300,74,168,71
5610,109,214,69
5775,115,224,90
6600,146,351,148
10725,208,333,127
11550,238,443,190
13200,294,680,298
14025,274,584,184
21450,424,685,247
23100,483,876,372
28050,538,1217,365
41925,890,1068,503
46200,958,1823,739
53625,1065,1819,616
56100,1101,2473,724
83850,1772,2187,976
107250,2168,3771,1219
112200,2299,5036,1447
209625,4529,6012,2479
214500,4321,7931,2487
419250,19605,67567,5107
429000,21202,74851,5086
838500,65020,-1,10261
1677000,-1,-1,20909
