x,impala-dep_time,impala-dep_memory,impala-dep_error,impala-war-dep_time,impala-war-dep_memory,impala-war-dep_error,impala-war_time,impala-war_memory,impala-war_error,impala-grad_time,impala-grad_memory,impala-grad_error,enzyme_time,enzyme_memory,enzyme_error,torch_time,torch_memory,torch_error
20000,13,255772032,0.0,17,255657280,0.0,35,509986752,0.0,35,511772672,0.0,10,255722880,0.0,15,345623616,0.0
40000,24,510281600,0.0,25,510232320,0.0,69,1018678144,0.0,70,1022184192,0.0,21,510199552,0.0,31,601207744,0.0
60000,37,764741888,0.0,37,764791168,0.0,109,1527353152,0.0,104,1532628736,0.0,32,764741888,0.0,46,861981568,0.0
80000,50,1019251456,0.0,49,1019333504,0.0,142,2036109952,0.0,203,2043155200,0.0,42,1019333440,0.0,61,1110680384,0.0
100000,62,1273810112,0.0,62,1273777344,0.0,209,2544834112,0.0,188,2554550016,0.0,54,1273793664,0.0,226,1383590784,0.0
120000,76,1528368896,0.0,75,1528369024,0.0,310,3053591168,0.0,417,3066157760,0.0,64,1528336064,0.0,268,1621860928,0.0
140000,88,1782862080,0.0,87,1782878400,0.0,403,3562282432,0.0,272,3574668864,0.0,76,1782862016,0.0,316,1881467456,0.0
160000,102,2037420736,0.0,137,2037387904,0.0,541,4071039360,0.0,320,4085129728,0.0,87,2037404416,0.0,360,2135663104,0.0
180000,112,2291848256,0.0,113,2291913920,0.0,444,4579730752,0.0,631,4595541312,0.0,100,2291897472,0.0,409,2390260032,0.0
200000,126,2546423424,0.0,126,2546390592,0.0,432,5088487744,0.0,412,5106067776,0.0,113,2546423360,0.0,453,2648371520,0.0
220000,139,2800965696,0.0,137,2800998528,0.0,475,5597211968,0.0,454,5616577792,0.0,128,2800932928,0.0,495,2906269888,0.0
240000,151,3055442432,0.0,163,3055475200,0.0,663,6105870528,0.0,776,6127022336,0.0,142,3055491584,0.0,541,3157430336,0.0
260000,163,3310017536,0.0,163,3310033920,0.0,569,6614643840,0.0,575,6637548736,0.0,155,3310033920,0.0,588,3416086528,0.0
280000,178,3564559808,0.0,177,3564527040,0.0,649,7123417216,0.0,778,7148058752,0.0,167,3564494272,0.0,641,3673923520,0.0
300000,188,3819069376,0.0,220,3819020224,0.0,1025,7632075840,0.0,768,7658552448,0.0,178,3819069376,0.0,685,3924842304,0.0
320000,203,4073595328,0.0,204,4073595328,0.0,699,8140849216,0.0,826,8169029760,0.0,191,4073595328,0.0,732,4185751296,0.0
340000,217,4328137664,0.0,214,4328170432,0.0,867,8649655296,0.0,1114,8679654464,0.0,203,4328170432,0.0,778,4435973696,0.0
360000,229,4582630784,0.0,229,4582630784,0.0,1081,9158297536,0.0,795,9189984256,0.0,217,4582598016,0.0,819,4691537408,0.0
380000,245,4837205952,0.0,243,4837156736,0.0,835,9667054528,0.0,999,9700477824,0.0,230,4837140352,0.0,871,4950599104,0.0
400000,257,5091731840,0.0,257,5091715456,0.0,1144,10175778688,0.0,879,10210987840,0.0,244,5091682624,0.0,921,5203594560,0.0
420000,269,5346274176,0.0,269,5346241344,0.0,933,10684535616,0.0,1381,10721579968,0.0,256,5346257856,0.0,958,5459576064,0.0
440000,289,5600734528,0.0,287,5600767360,0.0,1050,11193226944,0.0,971,11231958784,0.0,269,5600718080,0.0,1017,5717740736,0.0
460000,298,5855293184,0.0,297,5855293184,0.0,1446,11701951104,0.0,1307,11742534400,0.0,283,5855276736,0.0,1055,5973836928,0.0
480000,317,6109769920,0.0,315,6109769920,0.0,1186,12210642496,0.0,1367,12252913344,0.0,297,6109802752,0.0,1102,6229494784,0.0
500000,326,6364328640,0.0,485,6364328576,0.0,1851,12719448576,0.0,1216,12763488896,0.0,314,6364328576,0.0,1154,6489703360,0.0
520000,341,6618821824,0.0,340,6618887424,0.0,1327,13228156416,0.0,1144,13273949760,0.0,325,6618887424,0.0,1195,6737439488,0.0
540000,354,6873314880,0.0,353,6873347712,0.0,1503,13736831424,0.0,1551,13784459904,0.0,338,6873314880,0.0,1259,6997861056,0.0
560000,368,7127857216,0.0,524,7127922880,0.0,1608,14245604800,0.0,1236,14294953472,0.0,354,7127906432,0.0,1297,7244360256,0.0
580000,389,7382448704,0.0,554,7382415936,0.0,1971,14754377984,0.0,1458,14805479872,0.0,367,7382465152,0.0,1414,7508902464,0.0
600000,397,7636892736,0.0,395,7636958336,0.0,1517,15263053120,0.0,1334,15315907968,0.0,378,7636925568,0.0,1442,7760284032,0.0
620000,406,7891517056,0.0,406,7891435072,0.0,1780,15771760832,0.0,1378,15826352384,0.0,392,7891467776,0.0,1574,8021377344,0.0
640000,428,8145928192,0.0,428,8145977344,0.0,1420,16280468672,0.0,1427,16336796928,0.0,406,8145977344,0.0,1479,8271394944,0.0
660000,432,8400568832,0.0,645,8400552448,0.0,1471,16789274752,0.0,1811,16847438080,0.0,419,8400552448,0.0,1534,8527192192,0.0
680000,447,8655029184,0.0,730,8655045632,0.0,1554,17297998848,0.0,1613,17357898944,0.0,431,8655062016,0.0,1578,8782792768,0.0
700000,456,8909522368,0.0,454,8909522304,0.0,1970,17806657536,0.0,1789,17868343488,0.0,443,8909505920,0.0,1604,9032859456,0.0
720000,472,9164097536,0.0,483,9164097472,0.0,1937,18315381696,0.0,1711,18378853504,0.0,458,9164097472,0.0,1688,9299953536,0.0
740000,485,9418623360,0.0,481,9418656128,0.0,2301,18824204160,0.0,2064,18889429056,0.0,468,9418639744,0.0,1791,9555947392,0.0
760000,500,9673149312,0.0,501,9673182144,0.0,2924,19332895616,0.0,1983,19399873600,0.0,482,9673116480,0.0,1930,9799759424,0.0
780000,707,9927609664,0.0,509,9927658880,0.0,3300,19841603392,0.0,2778,19910334464,0.0,492,9927658880,0.0,1815,10067463744,0.0
800000,580,10182217600,0.0,526,10182201152,0.0,5548,20350327552,0.0,4373,20420844480,0.0,505,10182201152,0.0,2009,10310714752,0.0
820000,833,10436710656,0.0,535,10436694272,0.0,4997,20859084480,0.0,5175,20931403712,0.0,518,10436661440,0.0,2087,10579893632,0.0
840000,910,10691252992,0.0,550,10691269440,0.0,5952,21367841472,0.0,5823,21441881024,0.0,530,10691269440,0.0,1968,10815296640,0.0
860000,671,10945746176,0.0,560,10945778944,0.0,5974,21876582080,0.0,6267,21952325440,0.0,541,10945779008,0.0,2004,11077418112,0.0
880000,790,11200239232,0.0,576,11200255616,0.0,6133,22385207808,0.0,6165,22462753536,0.0,553,11200222912,0.0,2117,11339711616,0.0
900000,584,11454863616,0.0,585,11454847168,0.0,7059,22894013888,0.0,6276,22973263488,0.0,561,11454847168,0.0,2113,11588705088,0.0
920000,602,11709356608,0.0,602,11709373056,0.0,7284,23402820032,0.0,7257,23483871872,0.0,576,11709389504,0.0,2464,11851191296,0.0
940000,805,11963833536,0.0,614,11963800704,0.0,7723,23911396736,0.0,7461,23994267200,0.0,585,11963849856,0.0,2446,12092484160,0.0
960000,888,12218375744,0.0,631,12218359360,0.0,7838,24420137216,0.0,8036,24504744512,0.0,597,12218342976,0.0,2249,12370400000,0.0
980000,802,12472950848,0.0,637,12472950848,0.0,8618,24928976128,0.0,8765,25015320064,0.0,606,12472950848,0.0,2573,12611389952,0.0
1000000,663,12727427584,0.0,876,12727443968,0.0,10117,25437634752,0.0,9971,25525731712,0.0,621,12727460416,0.0,2546,12858536320,0.0
1020000,662,12982002752,0.0,713,12981969984,0.0,10312,25946391680,0.0,9875,26036176128,0.0,630,12981969984,0.0,2705,13121636736,0.0
1040000,850,13236430272,0.0,1081,13236463104,0.0,10449,26455083072,0.0,10744,26546735488,0.0,640,13236495872,0.0,2700,13393793344,0.0
1060000,687,13490988992,0.0,809,13490923392,0.0,11306,26963790784,0.0,10791,27057114240,0.0,651,13490972544,0.0,2570,13607204736,0.0
1080000,722,13745482112,0.0,700,13745498496,0.0,10410,27472515008,0.0,10042,27567624320,0.0,663,13745482176,0.0,2531,13862170432,0.0
1100000,711,14000057216,0.0,711,14000057216,0.0,10704,27981271936,0.0,10281,28078150720,0.0,674,14000040832,0.0,2590,14118188800,0.0
1120000,1156,14254501248,0.0,730,14254517568,0.0,10657,28489930624,0.0,10897,28588513280,0.0,686,14254484800,0.0,2635,14372138560,0.0
1140000,740,14509109120,0.0,824,14509076288,0.0,11670,28998720256,0.0,11526,29099088832,0.0,697,14509059904,0.0,2725,14627661248,0.0
1160000,752,14763585792,0.0,753,14763585792,0.0,12255,29507460800,0.0,11539,29609615232,0.0,712,14763569408,0.0,2930,14882508160,0.0
1180000,1088,15018111744,0.0,1273,15018128128,0.0,12614,30016152256,0.0,12439,30120076224,0.0,719,15018144576,0.0,3163,15137494336,0.0
